iso3,year,population
ABW,1960,54922
ABW,1961,55578
ABW,1962,56320
ABW,1963,57002
ABW,1964,57619
ABW,1965,58190
ABW,1966,58694
ABW,1967,58990
ABW,1968,59069
ABW,1969,59052
ABW,1970,58950
ABW,1971,58781
ABW,1972,58047
ABW,1973,58299
ABW,1974,58349
ABW,1975,58295
ABW,1976,58368
ABW,1977,58580
ABW,1978,58776
ABW,1979,59191
ABW,1980,59909
ABW,1981,60563
ABW,1982,61276
ABW,1983,62228
ABW,1984,62901
ABW,1985,61728
ABW,1986,59931
ABW,1987,59159
ABW,1988,59331
ABW,1989,60443
ABW,1990,62753
ABW,1991,65896
ABW,1992,69005
ABW,1993,73685
ABW,1994,77595
ABW,1995,79805
ABW,1996,83021
ABW,1997,86301
ABW,1998,88451
ABW,1999,89659
ABW,2000,90588
ABW,2001,91439
ABW,2002,92074
ABW,2003,93128
ABW,2004,95138
ABW,2005,97635
ABW,2006,99405
ABW,2007,100150
ABW,2008,100917
ABW,2009,101604
ABW,2010,101838
ABW,2011,102591
ABW,2012,104110
ABW,2013,105675
ABW,2014,106807
ABW,2015,107906
ABW,2016,108727
ABW,2017,108735
ABW,2018,108908
ABW,2019,109203
ABW,2020,108587
ABW,2021,107700
ABW,2022,107310
ABW,2023,107359
ABW,2024,107995
ABW,2025,108785
AFE,1960,130075728
AFE,1961,133534923
AFE,1962,137171659
AFE,1963,140945536
AFE,1964,144904094
AFE,1965,149033472
AFE,1966,153281203
AFE,1967,157704381
AFE,1968,162329396
AFE,1969,167088245
AFE,1970,171984985
AFE,1971,177022314
AFE,1972,182126556
AFE,1973,187524135
AFE,1974,193186642
AFE,1975,198914573
AFE,1976,204802976
AFE,1977,210680842
AFE,1978,217074286
AFE,1979,223974122
AFE,1980,230792729
AFE,1981,238043099
AFE,1982,245822010
AFE,1983,253644643
AFE,1984,261458202
AFE,1985,269450407
AFE,1986,277621771
AFE,1987,286067346
AFE,1988,294498625
AFE,1989,302939121
AFE,1990,311748681
AFE,1991,320442961
AFE,1992,329082707
AFE,1993,338324002
AFE,1994,347441809
AFE,1995,356580375
AFE,1996,366138524
AFE,1997,375646235
AFE,1998,385505757
AFE,1999,395750933
AFE,2000,406156661
AFE,2001,416807868
AFE,2002,427820358
AFE,2003,439173286
AFE,2004,450928044
AFE,2005,463076637
AFE,2006,475606210
AFE,2007,488580707
AFE,2008,502070763
AFE,2009,516003448
AFE,2010,530308387
AFE,2011,544737983
AFE,2012,559609961
AFE,2013,575202699
AFE,2014,590968990
AFE,2015,607123269
AFE,2016,623369401
AFE,2017,640058741
AFE,2018,657801085
AFE,2019,675950189
AFE,2020,694446100
AFE,2021,713090928
AFE,2022,731821393
AFE,2023,750491370
AFE,2024,769280888
AFE,2025,788844284
AFG,1960,9035043
AFG,1961,9214083
AFG,1962,9404406
AFG,1963,9604487
AFG,1964,9814318
AFG,1965,10036008
AFG,1966,10266395
AFG,1967,10505959
AFG,1968,10756922
AFG,1969,11017409
AFG,1970,11290128
AFG,1971,11567667
AFG,1972,11853696
AFG,1973,12157999
AFG,1974,12469127
AFG,1975,12773954
AFG,1976,13059851
AFG,1977,13340756
AFG,1978,13611441
AFG,1979,13655567
AFG,1980,13169311
AFG,1981,11937581
AFG,1982,10991378
AFG,1983,10917982
AFG,1984,11190221
AFG,1985,11426852
AFG,1986,11420074
AFG,1987,11387818
